Vakken	punt	max	gem	80+	70+	60+	50+	50-	positie
Hoofdvakken	7.7	10	7	2	10	7	2	1	2
Aardrijskunde	7.6	10	7.8	7	11	4	0	0	2
Biologie	8.8	10	7.2	7		3	5	2	1
Chemie	9.2	10	7.7	8	7	4	2	1	1
Fysica	7.1	10	6.9	2	9	6	4	1	2
Nederlands	7.4	10	7.4	5	10	6	1	0	2
Wiskunde	7.4	10	6.2	0	6	7	6	3	2
Wiskunde plus	8	10	7.1	3	12	9	2	2	2
Andere Vakken	8.2	10	7.5	7	10	4	1	0	1
Engels	7.9	10	7.3	3	13	4	2	0	2
Esthetica	8.6	10	8.5	10	4	0	0	0	1
Frans	7.4	10	6.6	1	6	9	5	1	2
Geschiedenis	7.4	10	7.9	8	10	4	0	0	2
Godsdienst	10	10	8.3	12	5	3	2	0	1
Lichamelijke opvoeding	-	10	7.3	9	17	10	4	2	-
