Vakken	punt	max	gem	80+	70+	60+	50+	50-	positie
Hoofdvakken	7.7	10	7.1	4	9	5	4	0	2
Aardrijskunde	8.9	10	8	11	7	2	2	0	1
Biologie	-	10	-	0	0	0	0	0	-
Chemie	8	10	7.7	8	9	0	3	2	2
Fysica	8.3	10	7.4	5	12	2	3	0	1
Nederlands	7	10	6.8	0	10	9	3	0	3
Wiskunde	7.4	10	6.4	2	6	5	6	3	2
Wiskunde plus	7.2	10	7.2	9	5	7	4	1	2
Andere Vakken	8.2	10	7.5	7	7	8	0	0	1
Engels	8.1	10	7.8	10	7	5	0	0	1
Esthetica	-	10	-	0	0	0	0	0	-
Frans	7.6	10	6.4	4	5	2	5	6	2
Geschiedenis	8.3	10	7.9	11	6	4	1	0	1
Godsdienst	9	10	8.6	12	8	0	0	1	1
Lichamelijke opvoeding	8.4	10	7.3	8	17	12	4	1	1
