Vakken	punt	max	gem	80+	70+	60+	50+	50-	positie
Hoofdvakken	7.6	10	7.3	2	12	6	0	0	2
Aardrijskunde	8.3	10	8.2	13	4	2	1	0	1
Biologie	-	10	-	0	0	0	0	0	0
Chemie	8.8	10	7.1	3	7	7	1	2	1
Fysica	9.4	10	8.2	11	8	1	0	0	1
Nederlands	6.4	10	6.8	2	6	6	4	1	3
Wiskunde	7.2	10	7.3	4	10	4	2	0	2
Wiskunde plus	6.2	10	5.8	4	1	5	9	7	3
Andere Vakken	8.5	10	8	9	10	1	0	0	1
Engels	8.2	10	7.6	6	7	4	1	0	1
Esthetica	8.5	10	8.9	18	0	0	0	0	1
Frans	7.8	10	6.9	4	5	4	7	0	2
Geschiedenis	9.3	10	8.5	14	3	3	0	0	1
Godsdienst	9.7	10	9.5	20	0	0	0	0	1
Lichamelijke opvoeding	7.8	10	7.6	14	18	8	3	0	2
